GO.ID	Term	ontology	HOG	change	branch_p	p_raw	topGOresult	Significant	Expected	FoldEnrichment
GO:0006723	cuticle hydrocarbon biosynthetic process	BP	N0.HOG0000101	6	0.00287406	2.9e-05	2.9e-05	2	0.0084722969338354	236.063492063492
GO:0006723	cuticle hydrocarbon biosynthetic process	BP	N0.HOG0000639	2	0.000699837	2.9e-05	2.9e-05	2	0.0084722969338354	236.063492063492
GO:0050911	detection of chemical stimulus involved in sensory perception of smell	BP	N0.HOG0000028	2	0.00774613	0.00045	0.00045	2	0.0320064550833782	62.4873949579832
GO:0050911	detection of chemical stimulus involved in sensory perception of smell	BP	N0.HOG0000158	6	0.00447613	0.00045	0.00045	2	0.0320064550833782	62.4873949579832
GO:0006713	glucocorticoid catabolic process	BP	N0.HOG0000058	3	0.000638988	0.00098	0.00098	1	0.000941366325981711	1062.28571428571
GO:0019373	epoxygenase P450 pathway	BP	N0.HOG0000101	6	0.00287406	0.00098	0.00098	1	0.000941366325981711	1062.28571428571
GO:0018904	ether metabolic process	BP	N0.HOG0000101	6	0.00287406	0.00168	0.00168	2	0.0122377622377622	163.428571428571
GO:0018904	ether metabolic process	BP	N0.HOG0000639	2	0.000699837	0.00168	0.00168	2	0.0122377622377622	163.428571428571
GO:0043456	regulation of pentose-phosphate shunt	BP	N0.HOG0000058	3	0.000638988	0.00195	0.00195	1	0.00188273265196342	531.142857142857
GO:0046222	aflatoxin metabolic process	BP	N0.HOG0000101	6	0.00287406	0.00195	0.00195	1	0.00188273265196342	531.142857142857
GO:0032100	positive regulation of appetite	BP	N0.HOG0000639	2	0.000699837	0.00293	0.00293	1	0.00282409897794513	354.095238095238
GO:1902321	methyl-branched fatty acid biosynthetic process	BP	N0.HOG0000639	2	0.000699837	0.00293	0.00293	1	0.00282409897794513	354.095238095238
GO:1990616	magnesium ion export from mitochondrion	BP	N0.HOG0000058	3	0.000638988	0.00293	0.00293	1	0.00282409897794513	354.095238095238
GO:0002003	angiotensin maturation	BP	N0.HOG0000299	2	0.000699837	0.0039	0.0039	1	0.00376546530392684	265.571428571429
GO:0010961	intracellular magnesium ion homeostasis	BP	N0.HOG0000058	3	0.000638988	0.0039	0.0039	1	0.00376546530392684	265.571428571429
GO:1902603	carnitine transmembrane transport	BP	N0.HOG0000058	3	0.000638988	0.0039	0.0039	1	0.00376546530392684	265.571428571429
GO:1902616	O-acyl-L-carnitine transmembrane transport	BP	N0.HOG0000058	3	0.000638988	0.0039	0.0039	1	0.00376546530392684	265.571428571429
GO:0019233	sensory perception of pain	BP	N0.HOG0000028	2	0.00774613	0.00426	0.00426	2	0.0988434642280796	20.2340136054422
GO:0019233	sensory perception of pain	BP	N0.HOG0000101	6	0.00287406	0.00426	0.00426	2	0.0988434642280796	20.2340136054422
GO:0006718	juvenile hormone biosynthetic process	BP	N0.HOG0000058	3	0.000638988	0.00488	0.00488	1	0.00470683162990855	212.457142857143
GO:0010430	fatty acid omega-oxidation	BP	N0.HOG0000101	6	0.00287406	0.00488	0.00488	1	0.00470683162990855	212.457142857143
GO:0030223	neutrophil differentiation	BP	N0.HOG0000639	2	0.000699837	0.00585	0.00585	1	0.00564819795589026	177.047619047619
GO:0006704	glucocorticoid biosynthetic process	BP	N0.HOG0000058	3	0.000638988	0.00682	0.00682	1	0.00658956428187198	151.755102040816
GO:0006853	carnitine shuttle	BP	N0.HOG0000058	3	0.000638988	0.00682	0.00682	1	0.00658956428187198	151.755102040816
GO:0008611	ether lipid biosynthetic process	BP	N0.HOG0000639	2	0.000699837	0.0078	0.0078	1	0.00753093060785368	132.785714285714
GO:0040022	feminization of hermaphroditic germ-line	BP	N0.HOG0000028	2	0.00774613	0.0078	0.0078	1	0.00753093060785368	132.785714285714
GO:0071329	cellular response to sucrose stimulus	BP	N0.HOG0000639	2	0.000699837	0.00877	0.00877	1	0.0084722969338354	118.031746031746
GO:0016125	sterol metabolic process	BP	N0.HOG0000101	6	0.00287406	0.00929	0.00929	2	0.0922538999462076	21.6793002915452
GO:0016125	sterol metabolic process	BP	N0.HOG0000639	2	0.000699837	0.00929	0.00929	2	0.0922538999462076	21.6793002915452
GO:0006121	mitochondrial electron transport, succinate to ubiquinone	BP	N0.HOG0000158	6	0.00447613	0.00974	0.00974	1	0.00941366325981711	106.228571428571
GO:0090557	establishment of endothelial intestinal barrier	BP	N0.HOG0000639	2	0.000699837	0.0107	0.0107	1	0.0103550295857988	96.5714285714286
GO:0006089	lactate metabolic process	BP	N0.HOG0000639	2	0.000699837	0.01264	0.01264	1	0.0122377622377622	81.7142857142857
GO:0006105	succinate metabolic process	BP	N0.HOG0000158	6	0.00447613	0.01361	0.01361	1	0.013179128563744	75.8775510204082
GO:0006825	copper ion transport	BP	N0.HOG0000028	2	0.00774613	0.01361	0.01361	1	0.013179128563744	75.8775510204082
GO:0016063	rhodopsin biosynthetic process	BP	N0.HOG0000058	3	0.000638988	0.01457	0.01457	1	0.0141204948897257	70.8190476190476
GO:0030224	monocyte differentiation	BP	N0.HOG0000639	2	0.000699837	0.0165	0.0165	1	0.0160032275416891	62.4873949579832
GO:0042447	hormone catabolic process	BP	N0.HOG0000058	3	0.000638988	0.0165	0.0165	1	0.0160032275416891	62.4873949579832
GO:0043455	regulation of secondary metabolic process	BP	N0.HOG0000058	3	0.000638988	0.0165	0.0165	1	0.0160032275416891	62.4873949579832
GO:1901568	fatty acid derivative metabolic process	BP	N0.HOG0000101	6	0.00287406	0.01842	0.01842	2	0.0677783754706832	29.5079365079365
GO:1901568	fatty acid derivative metabolic process	BP	N0.HOG0000639	2	0.000699837	0.01842	0.01842	2	0.0677783754706832	29.5079365079365
GO:0035002	liquid clearance, open tracheal system	BP	N0.HOG0000058	3	0.000638988	0.01843	0.01843	1	0.0178859601936525	55.9097744360902
GO:0043171	peptide catabolic process	BP	N0.HOG0000299	2	0.000699837	0.01843	0.01843	1	0.0178859601936525	55.9097744360902
GO:0072488	ammonium transmembrane transport	BP	N0.HOG0000058	3	0.000638988	0.01843	0.01843	1	0.0178859601936525	55.9097744360902
GO:0071392	cellular response to estradiol stimulus	BP	N0.HOG0000058	3	0.000638988	0.01939	0.01939	1	0.0188273265196342	53.1142857142857
GO:0006491	N-glycan processing	BP	N0.HOG0000158	6	0.00447613	0.02131	0.02131	1	0.0207100591715976	48.2857142857143
GO:0046949	fatty-acyl-CoA biosynthetic process	BP	N0.HOG0000639	2	0.000699837	0.02131	0.02131	1	0.0207100591715976	48.2857142857143
GO:0071353	cellular response to interleukin-4	BP	N0.HOG0000639	2	0.000699837	0.02131	0.02131	1	0.0207100591715976	48.2857142857143
GO:0040038	polar body extrusion after meiotic divisions	BP	N0.HOG0000101	6	0.00287406	0.02227	0.02227	1	0.0216514254975793	46.1863354037267
GO:0055070	copper ion homeostasis	BP	N0.HOG0000028	2	0.00774613	0.02227	0.02227	1	0.0216514254975793	46.1863354037267
